-149.64,-2.7650541620407355e-6,-1.5544986586534994e-6
-149.63,-2.761608167731316e-6,-1.5662955879659783e-6
-149.62,-2.758114954764581e-6,-1.5780903669613938e-6
-149.61,-2.754574488264201e-6,-1.5898828191334463e-6
-149.6,-2.750986733353846e-6,-1.6016727679758362e-6
-149.59,-2.7473516551571926e-6,-1.6134600369822372e-6
-149.58,-2.7436692187979106e-6,-1.6252444496463496e-6
-149.57,-2.7399393893996715e-6,-1.6370258294618656e-6
-149.56,-2.736162132086145e-6,-1.6488039999224839e-6
-149.55,-2.7323374119810085e-6,-1.6605787845218807e-6
-149.54,-2.7284651942079326e-6,-1.6723500067537545e-6
-149.53,-2.7245454438905875e-6,-1.6841174901117982e-6
-149.52,-2.7205781261526437e-6,-1.69588105808971e-6
-149.51,-2.7165632061177783e-6,-1.707640534181166e-6
-149.5,-2.712500648909661e-6,-1.719395741879866e-6
-149.49,-2.70839041965196e-6,-1.7311465046795095e-6
-149.48,-2.7042324834683547e-6,-1.7428926460737711e-6
-149.47,-2.7000256341433184e-6,-1.7546344243683145e-6
-149.46,-2.6957663377062246e-6,-1.7663729619530582e-6
-149.45,-2.6914592596675324e-6,-1.7781063374945707e-6
-149.44,-2.687104390106361e-6,-1.7898343652228356e-6
-149.43,-2.6827017191018194e-6,-1.8015568593678615e-6
-149.42,-2.6782512367330168e-6,-1.813273634159659e-6
-149.41,-2.6737529330790718e-6,-1.8249845038282113e-6
-149.4,-2.669206798219094e-6,-1.8366892826035283e-6
-149.39,-2.6646128222321954e-6,-1.8483877847156098e-6
-149.38,-2.6599709951974856e-6,-1.8600798243944652e-6
-149.37,-2.655281307194083e-6,-1.8717652158700796e-6
-149.36,-2.650543748301097e-6,-1.8834437733724613e-6
-149.35,-2.645758308597636e-6,-1.8951153111316198e-6
-149.34,-2.6409249781628202e-6,-1.9067796433775392e-6
-149.33,-2.636043747075758e-6,-1.9184365843402284e-6
-149.32,-2.6311146054155616e-6,-1.930085948249689e-6
-149.31,-2.626137543261341e-6,-1.9417275493359293e-6
-149.3,-2.621112550692214e-6,-1.953361201828934e-6
-149.29,-2.616039617787291e-6,-1.9649867199587117e-6
-149.28,-2.6109187346256827e-6,-1.9766039179552647e-6
-149.27,-2.6057498912864993e-6,-1.9882126100486e-6
-149.26,-2.6005330778488595e-6,-1.9998126104687032e-6
-149.25,-2.5952682843918727e-6,-2.0114037334455836e-6
-149.24,-2.5899555009946476e-6,-2.022985793209249e-6
-149.23,-2.5845947177363033e-6,-2.034558603989685e-6
-149.22,-2.5791859246959494e-6,-2.0461219800169007e-6
-149.21,-2.573729111952697e-6,-2.0576757355208964e-6
-149.2,-2.5682242695856565e-6,-2.069219684731681e-6
-149.19,-2.5626713876739465e-6,-2.080753641879239e-6
-149.18,-2.557070456296676e-6,-2.09227742119358e-6
-149.17,-2.5514214655329536e-6,-2.1037908369047124e-6
-149.16,-2.5457244054618984e-6,-2.115293703242621e-6
-149.15,-2.5399792661626212e-6,-2.1267858344373144e-6
-149.14,-2.534186037714232e-6,-2.1382670447187945e-6
-149.13,-2.528344710195841e-6,-2.149737148317069e-6
-149.12,-2.5224552736865666e-6,-2.161195959462124e-6
-149.11,-2.51651771826552e-6,-2.1726432923839665e-6
-149.1,-2.5105320340118067e-6,-2.1840789613126058e-6
-149.09,-2.504493817669812e-6,-2.1955037712028748e-6
-149.08,-2.4984055904420845e-6,-2.206916965500392e-6
-149.07,-2.4922692501478537e-6,-2.2183179282276624e-6
-149.06,-2.486084813643615e-6,-2.2297064675762254e-6
-149.05,-2.4798522977858783e-6,-2.2410823917375952e-6
-149.04,-2.473571719431138e-6,-2.2524455089033087e-6
-149.03,-2.4672430954358938e-6,-2.2637956272648966e-6
-149.02,-2.4608664426566416e-6,-2.275132555013897e-6
-149.01,-2.4544417779498907e-6,-2.286456100341824e-6
-149.,-2.447969118172135e-6,-2.297766071440216e-6
-148.99,-2.4414484801798705e-6,-2.309062276500611e-6
-148.98,-2.434879880829607e-6,-2.3203445237145226e-6
-148.97,-2.4282633369778386e-6,-2.33161262127349e-6
-148.96,-2.4215988654810667e-6,-2.342866377369042e-6
-148.95,-2.414886483195785e-6,-2.3541056001927182e-6
-148.94,-2.4081262069785033e-6,-2.365330097936031e-6
-148.93,-2.4013180536857176e-6,-2.3765396787905208e-6
-148.92,-2.3944620401739213e-6,-2.3877341509477236e-6
-148.91,-2.387558183299625e-6,-2.398913322599155e-6
-148.9,-2.3806064999193235e-6,-2.4100770019363525e-6
-148.89,-2.3736070068895165e-6,-2.4212249971508453e-6
-148.88,-2.3665597210666994e-6,-2.432357116434173e-6
-148.87,-2.3594646593073817e-6,-2.4434731679778497e-6
-148.86,-2.3523218384680583e-6,-2.454572959973413e-6
-148.85,-2.345131275405224e-6,-2.4656563006124004e-6
-148.84,-2.3378929869753888e-6,-2.4767229980863276e-6
-148.83,-2.3306069900350476e-6,-2.4877728605867316e-6
-148.82,-2.3232733014407e-6,-2.4988056963051424e-6
-148.81,-2.315891938048841e-6,-2.5098213134330988e-6
-148.8,-2.308462916715981e-6,-2.5208195201621146e-6
-148.79,-2.3009862542986142e-6,-2.5318001246837276e-6
